"Label";"First Name";"Last Name";"Login";"Mail";"Password";"UserUILg"
"TAO Jérôme Bogaerts";"Jérôme";"Bogaerts";"jbogaerts";"jerome.bogaerts@example.com";"jbogaerts";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Patrick Plichart";"Patrick";"Plichart";"pplichart";"patrick.plichart@example.com";"pplichart";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Raynald Jadoul";"Raynald";"Jadoul";"rjadoul";"raynald.jadoul@example.com";"rjadoul";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Christophe Henri";"Christophe";"Henri";"chenri";"christophe.henri@example.com";"chenry";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Isabelle Jars";"Isabelle";"Jars";"ijars";"isabelle.jars@example.com";"ijars";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Thibaud Latour";"Thibaud";"Latour";"tlatour";"thibaud.latour@example.com";"tlatour";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Luc Vandenabeele";"Luc";"Vandenabeele";"lvandenabeele";"luc.vandenabeele@example.com";"lvandenabeele";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Laure Condé";"Laure";"Condé";"lconde";"laure.conde@example.com";"lconde";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Karl Devooght";"Karl";"Devooght";"kdevooght";"karl.devooght@example.com";"kdevooght";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Somsack Sipasseuth";"Somsack";"Sipasseuth";"ssipasseuth";"somsack.sipasseuth@example.com";"ssipasseuth";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Cédric Alfonsi";"Cédric";"Alfonsi";"calfonsi";"cedric.alfonsi@example.com";"calfonsi";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Joël Billard";"Joël";"Billard";"jbillard";"joel.billard@example.com";"jbillard";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Vincent Porro";"Vincent";"Porro";"vporro";"vincent.porro@example.com";"vporro";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Igor Ribassin";"Igor";"Ribassin";"iribassin";"igor.ribassin@example.com";"iribassin";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Primaël Lorbat";"Primaël";"Lorbat";"plorbat";"primael.lorbat@example.com";"plorbat";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
"TAO Matteo Mellis";"Matteo";"Mellis";"mmellis";"matteo.mellis@example.com";"mmellis";"http://www.tao.lu/Ontologies/TAO.rdf#LangEN"
